case_id,source_file,processed_ts,dr_no,date_of_occurrence,aircraft,trade,system,main_assembly,nomenclature,mod_status,part_no,serial_no,date_of_installation,date_of_removal,manufacturer,manufacture_date,warranty,amc_repair_contract,life_hours,life_cycles,defect_category,defect_observed,root_cause,findings,corrective_action,preventive_action,remarks_investigation,remarks_design,remarks_quality,remarks_user,remarks_ordaqa,remarks_cemilac,date_component_received,approval_design_name,approval_design_date,approval_quality_name,approval_quality_date,approval_user_name,approval_user_date,approval_ordaqa_name,approval_ordaqa_date,approval_cemilac_name,approval_cemilac_date,root_cause_clean,root_cause_cluster,defect_len,risk_label,risk_score,risk_level
DR_2020_0001,FORM44_Synthetic_001.pdf,2025-12-12T16:54:34.454151,DR/2020/0001,01/01/2023,Atlas Cargo - AC-9421-542 at Base Echo,Structural,Tail Assembly,Bay-2,Tail Assembly Assembly Unit,MOD-C,ST-2025-O4,SN-6712-407,27/04/2020,04/01/2023,Zenith Defense Tech,April 2016,No,No,4563,735,Mission Critical,Fastener hole elongation. Malfunction reported by flight crew.,Contamination ingress through damaged seal assembly,Detailed investigation conducted on the defective Tail Assembly component. Analysis of operational data indicated parameter deviation.,Replace entire assembly due to extent of damage,Implement quality control check at manufacturing stage,Detailed examination conducted. Corrective measures implemented.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 25/01/2023 Authorized Signatory of Design: Sqn Ldr H.S. Bhatia,Dept. Quality control procedures verified. Recommend periodic surveillance of manufacturing facility. Date: 27/01/2023 Signature: Sqn Ldr A.R. Desai,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 27/01/2023 Signature: Wg Cdr D.S. Nair,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 31/01/2023 Signature: Air Cmde S.B. Rao,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 04/02/2023 Signature: Sqn Ldr A.R. Desai,07/01/2023,Sqn Ldr H.S. Bhatia,2023-01-25,Sqn Ldr A.R. Desai,2023-01-27,Wg Cdr D.S. Nair,2023-01-27,Air Cmde S.B. Rao,2023-01-31,Sqn Ldr A.R. Desai,2023-02-04,Contamination ingress through damaged seal assembly,0,62,1,0.30392238869999794,Low
DR_2020_0007,FORM44_Synthetic_007.pdf,2025-12-12T16:54:35.083036,DR/2020/0007,09/08/2023,Hawk Defender - AC-8292-198 at Maintenance Hub-Y,Armament,Fire Control,Fuselage Center,Fire Control Assembly Unit,MOD-D,AR-9560-H7,SN-9354-967,15/02/2020,13/08/2023,Meridian Aviation Industries,January 2017,No,No,3344,1112,Mission Critical,Laser designator power fluctuation. Abnormality observed during system test.,Manufacturing defect in material composition leading to premature failure,Detailed investigation conducted on the defective Fire Control component. Testing confirmed performance below acceptable limits.,Revise maintenance procedure to include additional verification steps,Reduce inspection interval for affected component type,Investigation completed as per established procedures. All findings documented.,Design review completed. No design modification required. Component replacement as per maintenance manual is adequate. Date: 02/09/2023 Authorized Signatory of Design: Wg Cdr B.P. Gupta,Dept. Quality assurance review completed. Recommend enhanced incoming inspection criteria for this component type. Date: 03/09/2023 Signature: Air Cmde S.B. Rao,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 03/09/2023 Signature: Sqn Ldr A.R. Desai,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 05/09/2023 Signature: Dr. A.K. Sharma",/ RCMA (Design Aspects) Design aspects reviewed from certification authority perspective. Investigation is thorough and conclusions are sound. Date: 08/09/2023 Signature: Sqn Ldr H.S. Bhatia,14/08/2023,Wg Cdr B.P. Gupta,2023-09-02,Air Cmde S.B. Rao,2023-09-03,Sqn Ldr A.R. Desai,2023-09-03,Dr. A.K. Sharma,2023-09-05,Sqn Ldr H.S. Bhatia,2023-09-08,Manufacturing defect in material composition leading to premature failure,4,76,1,0.36951388593901396,Low
DR_2020_0010,FORM44_Synthetic_010.pdf,2025-12-12T16:54:35.404679,DR/2020/0010,16/12/2024,Cerberus Defense - AC-1124-648 at Maintenance Hub-Y,Pneumatic,De-icing System,Wing Root Starboard,De-icing System Assembly Unit,Standard,PN-2809-N4,SN-6908-619,04/03/2021,22/12/2024,Gamma Defense Manufacturing,July 2016,No,No,4934,1589,Observation,Bleed air leak detection. Malfunction reported by flight crew.,Design limitation in component load capacity under extreme conditions,Detailed investigation conducted on the defective De-icing System component. Analysis of operational data indicated parameter deviation.,Conduct non-destructive testing to verify structural integrity,Reduce inspection interval for affected component type,Thorough investigation completed. Preventive actions recommended.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 01/01/2025 Authorized Signatory of Design: Eng. R.P. Singh,Dept. Component inspection records verified. All quality parameters were within acceptable limits during manufacturing. Date: 04/01/2025 Signature: Wg Cdr D.S. Nair,(Project):(if applicable) Operational history analyzed. No abnormal usage patterns identified. Agree with proposed corrective actions. Date: 06/01/2025 Signature: Gp Capt N.R. Kumar,(Quality Aspects) Quality assurance framework assessed. Investigation process followed established protocols. Findings are valid. Date: 07/01/2025 Signature: Eng. R.P. Singh,/ RCMA (Design Aspects) Design authority review completed. Recommend continued airworthiness monitoring of affected component type. Date: 11/01/2025 Signature: Eng. K.N. Iyer,25/12/2024,Eng. R.P. Singh,2025-01-01,Wg Cdr D.S. Nair,2025-01-04,Gp Capt N.R. Kumar,2025-01-06,Eng. R.P. Singh,2025-01-07,Eng. K.N. Iyer,2025-01-11,Design limitation in component load capacity under extreme conditions,5,62,0,0.08506487394631293,Low
DR_2020_0011,FORM44_Synthetic_011.pdf,2025-12-12T16:54:35.497080,DR/2020/0011,01/11/2024,Banshee Fast - AC-2811-450 at Sector East Station,Propulsion,Exhaust System,Wing Root Port,Exhaust System Assembly Unit,Modified,PR-2932-V3,SN-2537-191,01/07/2021,04/11/2024,Advanced Flight Technologies,November 2017,No,No,1638,1479,Observation,Starter generator malfunction. Anomaly detected during routine inspection.,Improper calibration during last maintenance cycle,Detailed investigation conducted on the defective Exhaust System component. Physical examination revealed signs of wear and degradation.,Clean and re-lubricate affected assemblies per technical manual,Issue technical bulletin to all operators,Complete defect analysis performed. Lessons learned documented.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 05/12/2024 Authorized Signatory of Design: Dr. S.M. Kulkarni,Dept. Quality control procedures verified. Recommend periodic surveillance of manufacturing facility. Date: 07/12/2024 Signature: Dr. P.L. Mehta,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 06/12/2024 Signature: Wg Cdr M.S. Reddy,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 12/12/2024 Signature: Wg Cdr D.S. Nair,/ RCMA (Design Aspects) Design aspects reviewed from certification authority perspective. Investigation is thorough and conclusions are sound. Date: 15/12/2024 Signature: Wg Cdr B.P. Gupta,06/11/2024,Dr. S.M. Kulkarni,2024-12-05,Dr. P.L. Mehta,2024-12-07,Wg Cdr M.S. Reddy,2024-12-06,Wg Cdr D.S. Nair,2024-12-12,Wg Cdr B.P. Gupta,2024-12-15,Improper calibration during last maintenance cycle,1,74,0,0.3101025027596249,Low
DR_2020_0013,FORM44_Synthetic_013.pdf,2025-12-12T16:54:35.770629,DR/2020/0013,24/08/2023,Sparrow Light - AC-3432-936 at Zone-3 Facility,Hydraulic,Flight Control Hydraulics,Tail Section,Flight Control Hydraulics Assembly,Modified,HY-8917-E7,SN-9611-144,29/12/2020,29/08/2023,Nexus Avionics Manufacturing,August 2015,Yes,No,4083,1176,Safety Critical,Priority valve malfunction. Issue identified during pre-flight checks.,Software algorithm error in control logic implementation,Detailed investigation conducted on the defective Flight Control Hydraulics component. Physical examination revealed signs of wear and degradation.,Repair damaged area using approved repair scheme,Issue technical bulletin to all operators,Complete defect analysis performed. Lessons learned documented.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 12/09/2023 Authorized Signatory of Design: Air Cmde R.K. Joshi,Dept. Quality control procedures verified. Recommend periodic surveillance of manufacturing facility. Date: 14/09/2023 Signature: Dr. P.L. Mehta,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 13/09/2023 Signature: Sqn Ldr H.S. Bhatia,"(Quality Aspects) From quality standpoint, root cause analysis is thorough. Corrective measures are appropriate. Concur. Date: 18/09/2023 Signature: Dr. P.L. Mehta",/ RCMA (Design Aspects) Design authority review completed. Recommend continued airworthiness monitoring of affected component type. Date: 20/09/2023 Signature: Wg Cdr M.S. Reddy,30/08/2023,Air Cmde R.K. Joshi,2023-09-12,Dr. P.L. Mehta,2023-09-14,Sqn Ldr H.S. Bhatia,2023-09-13,Dr. P.L. Mehta,2023-09-18,Wg Cdr M.S. Reddy,2023-09-20,Software algorithm error in control logic implementation,0,70,0,0.48221698321583417,Medium
DR_2020_0016,FORM44_Synthetic_016.pdf,2025-12-12T16:54:36.120996,DR/2020/0016,09/02/2024,Wasp Interceptor - AC-8208-455 at Forward Operating Base-3,Pneumatic,Pneumatic Starter,Station-1 Starboard,Pneumatic Starter Assembly Unit,Standard,PN-9290-D7,SN-5022-595,24/03/2023,12/02/2024,Stellar Avionics Ltd,November 2015,No,Yes,1106,596,Critical,Pressure regulator drift. Abnormality observed during system test.,Foreign object damage to critical surface,Detailed investigation conducted on the defective Pneumatic Starter component. Testing confirmed performance below acceptable limits.,Conduct detailed inspection of all similar components in fleet,Introduce protective coating to prevent environmental degradation,Investigation completed as per established procedures. All findings documented.,Technical evaluation completed. Proposed preventive measures are appropriate and align with design intent. Date: 22/02/2024 Authorized Signatory of Design: Dr. P.L. Mehta,Dept. Quality assurance review completed. Recommend enhanced incoming inspection criteria for this component type. Date: 25/02/2024 Signature: Air Cmde S.B. Rao,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 26/02/2024 Signature: Sqn Ldr A.R. Desai,(Quality Aspects) Quality oversight review completed. Recommend monitoring effectiveness of implemented preventive actions. Date: 26/02/2024 Signature: Wg Cdr M.S. Reddy,/ RCMA (Design Aspects) Certification review completed. Proposed modifications do not affect type design approval. Acceptable. Date: 02/03/2024 Signature: Dr. S.M. Kulkarni,14/02/2024,Dr. P.L. Mehta,2024-02-22,Air Cmde S.B. Rao,2024-02-25,Sqn Ldr A.R. Desai,2024-02-26,Wg Cdr M.S. Reddy,2024-02-26,Dr. S.M. Kulkarni,2024-03-02,Foreign object damage to critical surface,0,66,1,0.41441341793256276,Medium
DR_2020_0020,FORM44_Synthetic_020.pdf,2025-12-12T16:54:36.546199,DR/2020/0020,30/07/2024,Phantom Stealth - AC-1236-542 at Zone-1 Facility,Structural,Canopy System,Wing Root Port,Canopy System Assembly Unit,MOD-B,ST-8246-F6,SN-5929-601,12/05/2021,02/08/2024,Pinnacle Aerospace,July 2020,No,Yes,4181,1204,Major,Lightning strike damage assessment. Abnormality observed during system test.,Thermal cycling induced solder joint failure in electronic assembly,Detailed investigation conducted on the defective Canopy System component. Testing confirmed performance below acceptable limits.,Adjust calibration settings to manufacturer specifications,Update technical documentation with lessons learned,Thorough investigation completed. Preventive actions recommended.,Investigation findings reviewed. Root cause analysis is acceptable. Recommend implementation of proposed corrective actions. Date: 04/09/2024 Authorized Signatory of Design: Eng. R.P. Singh,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 07/09/2024 Signature: Wg Cdr D.S. Nair,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 06/09/2024 Signature: Eng. R.P. Singh,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 10/09/2024 Signature: Sqn Ldr A.R. Desai,/ RCMA (Design Aspects) Certification review completed. Proposed modifications do not affect type design approval. Acceptable. Date: 14/09/2024 Signature: Gp Capt N.R. Kumar,05/08/2024,Eng. R.P. Singh,2024-09-04,Wg Cdr D.S. Nair,2024-09-07,Eng. R.P. Singh,2024-09-06,Sqn Ldr A.R. Desai,2024-09-10,Gp Capt N.R. Kumar,2024-09-14,Thermal cycling induced solder joint failure in electronic assembly,4,76,0,0.2843973031925318,Low
DR_2020_0025,FORM44_Synthetic_025.pdf,2025-12-12T16:54:37.090977,DR/2020/0025,07/01/2023,Raptor Elite - AC-9350-397 at Regional Depot-B,Avionics,Radar System,Station-4 Starboard,Radar System Assembly Unit,MOD-D,AV-1239-V7,SN-7780-791,12/12/2020,10/01/2023,Horizon Aviation Systems,March 2019,No,Yes,2709,1176,Safety Critical,Radar display intermittent blanking. Abnormality observed during system test.,Contamination ingress through damaged seal assembly,Detailed investigation conducted on the defective Radar System component. Inspection revealed damage to critical components.,Conduct detailed inspection of all similar components in fleet,Enhance operator training on proper usage procedures,Complete defect analysis performed. Lessons learned documented.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 09/02/2023 Authorized Signatory of Design: Air Cmde R.K. Joshi,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 12/02/2023 Signature: Sqn Ldr A.R. Desai,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 10/02/2023 Signature: Wg Cdr M.S. Reddy,(Quality Aspects) Quality aspects from regulatory perspective reviewed. Investigation methodology is comprehensive and acceptable. Date: 16/02/2023 Signature: Air Cmde S.B. Rao,/ RCMA (Design Aspects) Design aspects reviewed from certification authority perspective. Investigation is thorough and conclusions are sound. Date: 19/02/2023 Signature: Wg Cdr B.P. Gupta,11/01/2023,Air Cmde R.K. Joshi,2023-02-09,Sqn Ldr A.R. Desai,2023-02-12,Wg Cdr M.S. Reddy,2023-02-10,Air Cmde S.B. Rao,2023-02-16,Wg Cdr B.P. Gupta,2023-02-19,Contamination ingress through damaged seal assembly,0,77,0,0.45449197450252454,Medium
DR_2020_0028,FORM44_Synthetic_028.pdf,2025-12-12T16:54:37.410619,DR/2020/0028,18/07/2024,Shadow Hunter - AC-5087-182 at Regional Depot-A,Armament,Weapon Release,Station-2 Port,Weapon Release Assembly Unit,Modified,AR-1163-J3,SN-8734-599,14/09/2021,22/07/2024,Horizon Aviation Systems,June 2017,Yes,Yes,1777,313,Safety Critical,Ammunition feed jam. Malfunction reported by flight crew.,Thermal cycling induced solder joint failure in electronic assembly,Detailed investigation conducted on the defective Weapon Release component. Inspection revealed damage to critical components.,Replace defective component with serviceable unit from approved stock,Issue technical bulletin to all operators,Complete defect analysis performed. Lessons learned documented.,Detailed analysis indicates design margins are adequate. Failure attributed to operational factors. Concur with findings. Date: 09/08/2024 Authorized Signatory of Design: Wg Cdr M.S. Reddy,Dept. Quality aspects reviewed. Manufacturing process controls are adequate. Recommend supplier quality audit. Date: 12/08/2024 Signature: Dr. P.L. Mehta,(Project):(if applicable) Operational usage reviewed. Component operated within prescribed limits. Concur with investigation outcome. Date: 13/08/2024 Signature: Sqn Ldr V.K. Patel,(Quality Aspects) Quality oversight review completed. Recommend monitoring effectiveness of implemented preventive actions. Date: 12/08/2024 Signature: Sqn Ldr V.K. Patel,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 16/08/2024 Signature: Gp Capt N.R. Kumar,25/07/2024,Wg Cdr M.S. Reddy,2024-08-09,Dr. P.L. Mehta,2024-08-12,Sqn Ldr V.K. Patel,2024-08-13,Sqn Ldr V.K. Patel,2024-08-12,Gp Capt N.R. Kumar,2024-08-16,Thermal cycling induced solder joint failure in electronic assembly,4,57,0,0.14936283350362597,Low
DR_2020_0029,FORM44_Synthetic_029.pdf,2025-12-12T16:54:37.516259,DR/2020/0029,28/07/2023,Titan Heavy - AC-8291-140 at Base Alpha,Mechanical,Door Mechanism,Pylon-A,Door Mechanism Assembly Unit,Modified,MC-6769-O9,SN-6043-350,15/08/2023,04/08/2023,Nova Aerospace Corp,February 2016,No,No,4218,374,Mission Critical,Flight control cable fraying detected. Abnormality observed during system test.,Inadequate maintenance procedure resulting in improper installation,Detailed investigation conducted on the defective Door Mechanism component. Physical examination revealed signs of wear and degradation.,Adjust calibration settings to manufacturer specifications,Introduce protective coating to prevent environmental degradation,Detailed examination conducted. Corrective measures implemented.,Design assessment confirms component operated within specified limits. Recommend enhanced inspection protocol. Date: 21/08/2023 Authorized Signatory of Design: Eng. R.P. Singh,Dept. Component inspection records verified. All quality parameters were within acceptable limits during manufacturing. Date: 24/08/2023 Signature: Eng. K.N. Iyer,(Project):(if applicable) User feedback incorporated. Recommend enhanced crew training on system operation and limitations. Date: 26/08/2023 Signature: Dr. S.M. Kulkarni,(Quality Aspects) Regulatory quality requirements verified. Proposed actions meet airworthiness standards. Recommend approval. Date: 28/08/2023 Signature: Air Cmde S.B. Rao,/ RCMA (Design Aspects) Airworthiness implications assessed. Recommend issuance of technical directive for fleet-wide compliance. Date: 26/08/2023 Signature: Air Cmde R.K. Joshi,05/08/2023,Eng. R.P. Singh,2023-08-21,Eng. K.N. Iyer,2023-08-24,Dr. S.M. Kulkarni,2023-08-26,Air Cmde S.B. Rao,2023-08-28,Air Cmde R.K. Joshi,2023-08-26,Inadequate maintenance procedure resulting in improper installation,1,79,1,0.3696572216792343,Low
